# Finite Temperature QED corrections for d2P_int/dT2. [d2P_int/dT2] = MeV^2
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    dP2_int/dT2 (e^4)    dP2_int/dT2 (e^5)    
3.282404E+01        -2.058140E+01        1.832783E+00        -1.892672E-01        1.517009E-02        
3.279455E+01        -2.054444E+01        1.829492E+00        -1.888987E-01        1.513903E-02        
3.276509E+01        -2.050754E+01        1.826206E+00        -1.885309E-01        1.510803E-02        
3.273566E+01        -2.047071E+01        1.822927E+00        -1.881638E-01        1.507709E-02        
3.270625E+01        -2.043394E+01        1.819653E+00        -1.877974E-01        1.504622E-02        
3.267687E+01        -2.039724E+01        1.816385E+00        -1.874317E-01        1.501541E-02        
3.264752E+01        -2.036061E+01        1.813123E+00        -1.870668E-01        1.498465E-02        
3.261819E+01        -2.032404E+01        1.809867E+00        -1.867025E-01        1.495397E-02        
3.258889E+01        -2.028754E+01        1.806617E+00        -1.863390E-01        1.492334E-02        
3.255961E+01        -2.025110E+01        1.803372E+00        -1.859761E-01        1.489278E-02        
3.253036E+01        -2.021473E+01        1.800134E+00        -1.856140E-01        1.486227E-02        
3.250114E+01        -2.017843E+01        1.796901E+00        -1.852525E-01        1.483183E-02        
3.247195E+01        -2.014219E+01        1.793674E+00        -1.848918E-01        1.480145E-02        
3.244278E+01        -2.010601E+01        1.790453E+00        -1.845318E-01        1.477113E-02        
3.241363E+01        -2.006990E+01        1.787238E+00        -1.841724E-01        1.474087E-02        
3.238451E+01        -2.003386E+01        1.784028E+00        -1.838138E-01        1.471068E-02        
3.235542E+01        -1.999788E+01        1.780824E+00        -1.834558E-01        1.468054E-02        
3.232636E+01        -1.996196E+01        1.777626E+00        -1.830985E-01        1.465047E-02        
3.229732E+01        -1.992611E+01        1.774434E+00        -1.827420E-01        1.462045E-02        
3.226830E+01        -1.989032E+01        1.771247E+00        -1.823861E-01        1.459050E-02        
3.223932E+01        -1.985460E+01        1.768066E+00        -1.820309E-01        1.456060E-02        
3.221036E+01        -1.981894E+01        1.764891E+00        -1.816764E-01        1.453077E-02        
3.218142E+01        -1.978334E+01        1.761722E+00        -1.813226E-01        1.450100E-02        
3.215251E+01        -1.974781E+01        1.758558E+00        -1.809694E-01        1.447129E-02        
3.212363E+01        -1.971235E+01        1.755400E+00        -1.806170E-01        1.444163E-02        
