# Finite Temperature QED corrections for dP_int/dT. [dP_int/dT] = MeV^3
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      dP_int/dT (e^4)      dP_int/dT (e^5)      
3.659480E+01        -3.120188E+02        2.778807E+01        -2.760895E+00        2.155068E-01        
3.656193E+01        -3.111785E+02        2.771325E+01        -2.753028E+00        2.148687E-01        
3.652908E+01        -3.103406E+02        2.763863E+01        -2.745182E+00        2.142325E-01        
3.649627E+01        -3.095049E+02        2.756421E+01        -2.737359E+00        2.135981E-01        
3.646348E+01        -3.086714E+02        2.748999E+01        -2.729558E+00        2.129656E-01        
3.643073E+01        -3.078402E+02        2.741597E+01        -2.721780E+00        2.123349E-01        
3.639800E+01        -3.070112E+02        2.734215E+01        -2.714023E+00        2.117061E-01        
3.636531E+01        -3.061845E+02        2.726853E+01        -2.706289E+00        2.110791E-01        
3.633264E+01        -3.053600E+02        2.719511E+01        -2.698576E+00        2.104540E-01        
3.630000E+01        -3.045377E+02        2.712188E+01        -2.690886E+00        2.098307E-01        
3.626739E+01        -3.037176E+02        2.704885E+01        -2.683217E+00        2.092093E-01        
3.623481E+01        -3.028997E+02        2.697602E+01        -2.675570E+00        2.085896E-01        
3.620226E+01        -3.020841E+02        2.690339E+01        -2.667945E+00        2.079718E-01        
3.616974E+01        -3.012706E+02        2.683095E+01        -2.660341E+00        2.073558E-01        
3.613725E+01        -3.004593E+02        2.675871E+01        -2.652759E+00        2.067417E-01        
3.610479E+01        -2.996502E+02        2.668666E+01        -2.645199E+00        2.061293E-01        
3.607235E+01        -2.988433E+02        2.661480E+01        -2.637660E+00        2.055187E-01        
3.603995E+01        -2.980385E+02        2.654314E+01        -2.630142E+00        2.049099E-01        
3.600757E+01        -2.972359E+02        2.647167E+01        -2.622646E+00        2.043029E-01        
3.597523E+01        -2.964355E+02        2.640039E+01        -2.615171E+00        2.036977E-01        
3.594291E+01        -2.956373E+02        2.632931E+01        -2.607718E+00        2.030943E-01        
3.591062E+01        -2.948411E+02        2.625841E+01        -2.600285E+00        2.024926E-01        
3.587836E+01        -2.940472E+02        2.618771E+01        -2.592874E+00        2.018927E-01        
3.584613E+01        -2.932553E+02        2.611720E+01        -2.585484E+00        2.012946E-01        
3.581393E+01        -2.924656E+02        2.604688E+01        -2.578115E+00        2.006982E-01        
3.578176E+01        -2.916781E+02        2.597674E+01        -2.570766E+00        2.001035E-01        
3.574961E+01        -2.908926E+02        2.590680E+01        -2.563439E+00        1.995107E-01        
3.571750E+01        -2.901093E+02        2.583704E+01        -2.556132E+00        1.989195E-01        
3.568541E+01        -2.893280E+02        2.576748E+01        -2.548846E+00        1.983301E-01        
3.565336E+01        -2.885489E+02        2.569810E+01        -2.541581E+00        1.977425E-01        
3.562133E+01        -2.877719E+02        2.562890E+01        -2.534337E+00        1.971565E-01        
3.558933E+01        -2.869969E+02        2.555989E+01        -2.527113E+00        1.965723E-01        
3.555736E+01        -2.862241E+02        2.549107E+01        -2.519909E+00        1.959898E-01        
3.552542E+01        -2.854533E+02        2.542244E+01        -2.512726E+00        1.954090E-01        
3.549351E+01        -2.846846E+02        2.535398E+01        -2.505564E+00        1.948299E-01        
3.546162E+01        -2.839180E+02        2.528572E+01        -2.498422E+00        1.942525E-01        
3.542977E+01        -2.831534E+02        2.521763E+01        -2.491300E+00        1.936769E-01        
3.539794E+01        -2.823909E+02        2.514973E+01        -2.484198E+00        1.931029E-01        
3.536614E+01        -2.816305E+02        2.508201E+01        -2.477117E+00        1.925306E-01        
3.533437E+01        -2.808721E+02        2.501448E+01        -2.470055E+00        1.919599E-01        
3.530263E+01        -2.801157E+02        2.494713E+01        -2.463014E+00        1.913910E-01        
3.527092E+01        -2.793614E+02        2.487995E+01        -2.455993E+00        1.908237E-01        
3.523923E+01        -2.786091E+02        2.481296E+01        -2.448991E+00        1.902581E-01        
3.520758E+01        -2.778589E+02        2.474615E+01        -2.442010E+00        1.896942E-01        
3.517595E+01        -2.771106E+02        2.467952E+01        -2.435048E+00        1.891319E-01        
3.514435E+01        -2.763644E+02        2.461307E+01        -2.428107E+00        1.885712E-01        
3.511278E+01        -2.756202E+02        2.454680E+01        -2.421185E+00        1.880122E-01        
3.508124E+01        -2.748780E+02        2.448070E+01        -2.414282E+00        1.874549E-01        
3.504972E+01        -2.741377E+02        2.441479E+01        -2.407399E+00        1.868992E-01        
3.501824E+01        -2.733995E+02        2.434905E+01        -2.400536E+00        1.863451E-01        
3.498678E+01        -2.726633E+02        2.428349E+01        -2.393692E+00        1.857927E-01        
3.495535E+01        -2.719290E+02        2.421810E+01        -2.386868E+00        1.852419E-01        
3.492395E+01        -2.711967E+02        2.415289E+01        -2.380063E+00        1.846927E-01        
3.489258E+01        -2.704664E+02        2.408786E+01        -2.373278E+00        1.841451E-01        
3.486123E+01        -2.697381E+02        2.402300E+01        -2.366512E+00        1.835991E-01        
3.482991E+01        -2.690117E+02        2.395832E+01        -2.359765E+00        1.830547E-01        
3.479863E+01        -2.682873E+02        2.389381E+01        -2.353037E+00        1.825119E-01        
3.476737E+01        -2.675648E+02        2.382947E+01        -2.346328E+00        1.819708E-01        
3.473613E+01        -2.668443E+02        2.376531E+01        -2.339638E+00        1.814312E-01        
3.470493E+01        -2.661257E+02        2.370132E+01        -2.332968E+00        1.808932E-01        
3.467375E+01        -2.654091E+02        2.363750E+01        -2.326316E+00        1.803568E-01        
3.464261E+01        -2.646943E+02        2.357386E+01        -2.319683E+00        1.798219E-01        
3.461149E+01        -2.639816E+02        2.351038E+01        -2.313069E+00        1.792887E-01        
3.458039E+01        -2.632707E+02        2.344708E+01        -2.306474E+00        1.787570E-01        
3.454933E+01        -2.625617E+02        2.338395E+01        -2.299898E+00        1.782268E-01        
3.451829E+01        -2.618547E+02        2.332098E+01        -2.293340E+00        1.776983E-01        
3.448729E+01        -2.611495E+02        2.325819E+01        -2.286801E+00        1.771712E-01        
3.445630E+01        -2.604463E+02        2.319557E+01        -2.280281E+00        1.766458E-01        
3.442535E+01        -2.597449E+02        2.313311E+01        -2.273779E+00        1.761218E-01        
3.439443E+01        -2.590454E+02        2.307082E+01        -2.267295E+00        1.755995E-01        
